id	text	category	cleaned_text
MA_YT048	@USER Ath nalla nadimarde alle. Athu nammal kaanum!!	NOT	user ath nalla nadimarde alle. athu nammal kaanum!!
MA_YT049	@USER Ne mathram kanditt karyamilla mone..	NOT	user ne mathram kanditt karyamilla mone.
MA_YT050	@USER evideya pokendath nintammante pootila	OFF	user evideya pokendath nintammante pootila
MA_YT051	@USER njn inim enik dislike cheinamn thonumbo cheyumbo like cheyqnam n thonunbo cheyum... Mohanlalinem paraem.... enik ishtam lla commen idum ne poi chavedaaa naaarareee pklayaadeeemoneee	OFF	user njn inim enik dislike cheinamn thonumbo cheyumbo like cheyqnam n thonunbo cheyum. mohanlalinem paraem. enik ishtam lla commen idum ne poi chavedaaa naaarareee pklayaadeeemoneee
MA_YT052	@USER Paaan parattaa naareee ente veettilullore vruthiked vllichal dhe koppeeee... pannm$@%##@@##-**&%%&&************************ninakkum und amma ninnem ninte amma pettathaaa... ellillatha nakkum aait vrithiked paranju vannal undallo..... dasheeeeee	OFF	user paaan parattaa naareee ente veettilullore vruthiked vllichal dhe koppeeee. pannm%** und amma ninnem ninte amma pettathaaa. ellillatha nakkum aait vrithiked paranju vannal undallo. dasheeeeee
MA_YT053	@USER Ithrak choriyan mohanlal aaraa ninte thanthayo daa chetteeee.....oru mohanlalum kure ooooooooooooooooolllllaaaa fansummmmmm🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕	OFF	user ithrak choriyan mohanlal aaraa ninte thanthayo daa chetteeee.oru mohanlalum kure ooooooooooooooooolllllaaaa fansummmmmm
MA_YT054	@USER ninte swabgavam vach ath ninte veeettulylla arodelm cheiiii daaa nareeeeee.... Allengil thane chwithoo ninepolulla njarambu rogigalkk athaa bestt... angne manosukhma kituanel athavum best... Panna parattteeee	OFF	user ninte swabgavam vach ath ninte veeettulylla arodelm cheiiii daaa nareeeeee. allengil thane chwithoo ninepolulla njarambu rogigalkk athaa bestt. angne manosukhma kituanel athavum best. panna parattteeee
MA_YT055	@USER ninte chundu kudichu parikkan thonnunnu	OFF	user ninte chundu kudichu parikkan thonnunnu
MA_YT056	@USER njan ethra paisa venamenkilum tharam enikku ninne venam oru divasathekku ethraya ninte rate para	OFF	user njan ethra paisa venamenkilum tharam enikku ninne venam oru divasathekku ethraya ninte rate para
MA_YT057	@USER ninakku vendenkil venda nintammanodu poi chodikku veno ennu	OFF	user ninakku vendenkil venda nintammanodu poi chodikku veno ennu
MA_YT058	@USER engane ullavanmarude comment report cheyanam . Allate evarokkae samsarichu endina samayam kollanae . Ellata samskaram evidennu varutana	NOT	user engane ullavanmarude comment report cheyanam . allate evarokkae samsarichu endina samayam kollanae . ellata samskaram evidennu varutana
MA_YT059	@USER Parayunullathe neram vannam parayuka. Koduvakke ozhivakkuka	NOT	user parayunullathe neram vannam parayuka. koduvakke ozhivakkuka
MA_YT060	@USER ayyo athengane sir manasilakki. ..bhayankaraaa	NOT	user ayyo athengane sir manasilakki. .bhayankaraaa
MA_YT061	@USER ivde arkum respect Ila apo padipikan nilkenda	NOT	user ivde arkum respect ila apo padipikan nilkenda
MA_YT062	@USER athe mini chechi... Ningalkk ee NADIMARE * Alelo chelavine thanae.... Pinae ningalk entha ithrakk veshamam... Ivare NADIMARE enne vilichathin💩💩💩	NOT	user athe mini chechi. ningalkk ee nadimare * alelo chelavine thanae. pinae ningalk entha ithrakk veshamam. ivare nadimare enne vilichathin
MA_YT063	@USER cmt super aayittund... choriyaan vannavanu kodutha reply kidukki.... Nee yaan aankutty...	NOT	user cmt super aayittund. choriyaan vannavanu kodutha reply kidukki. nee yaan aankutty.
MA_YT064	@USER poichu mone deepaknu kodutha replay	NOT	user poichu mone deepaknu kodutha replay
MA_YT065	@USER enthe...ninne koottikkoduth cash kittaanundo?	OFF	user enthe.ninne koottikkoduth cash kittaanundo?
MA_YT066	@USER venda moluse...ninte thallede vatta koothi adach vacholu...baakkiyundenki oru marakkunna medich irunn oombikko😊😊😊	OFF	user venda moluse.ninte thallede vatta koothi adach vacholu.baakkiyundenki oru marakkunna medich irunn oombikko
MA_YT067	@USER nee onnu chilakkathe irikkeda vatta poori mone...enthada myra	OFF	user nee onnu chilakkathe irikkeda vatta poori mone.enthada myra
MA_YT068	@USER nee poyi nintappande vrppandi oombi irunno...roatile patti vere pannikkaanum ninde thallene...🤣🤣 veppandikk pattyoliyil indaya..thayyolichekkan..🤣🤣🤣😚😚😚	OFF	user nee poyi nintappande vrppandi oombi irunno.roatile patti vere pannikkaanum ninde thallene. veppandikk pattyoliyil indaya.thayyolichekkan.
MA_YT069	@USER thantha illa ennu parayaan ithu ninte thanthaye kurichalla charcha.... Lalettane kurichaanu...	OFF	user thantha illa ennu parayaan ithu ninte thanthaye kurichalla charcha. lalettane kurichaanu.
MA_YT070	@USER Machane ulla karyam paranjeneullu avanta oru kollalu	NOT	user machane ulla karyam paranjeneullu avanta oru kollalu
MA_YT071	@USER polayadikalku piranna mone nee veshikundaya janmamalle nee a swabavame kaaniku	OFF	user polayadikalku piranna mone nee veshikundaya janmamalle nee a swabavame kaaniku
MA_YT072	@USER alla oru samshayam ninakku anujathi unda undankil ing ayakku paisa tharada	OFF	user alla oru samshayam ninakku anujathi unda undankil ing ayakku paisa tharada
MA_YT073	@USER ninte Amma enganaya sundhariyano oru photo ayakku njan onnu kanatte	OFF	user ninte amma enganaya sundhariyano oru photo ayakku njan onnu kanatte
MA_YT074	@USER polayadikalkku piranna mone nintammante samanam ethra Peru kudichada ninte ammante samanam kathikkada adyam	OFF	user polayadikalkku piranna mone nintammante samanam ethra peru kudichada ninte ammante samanam kathikkada adyam
MA_YT075	@USER nee cheyyunna karyam enthinada ente thalayilidnne veshikundaya santhathi	OFF	user nee cheyyunna karyam enthinada ente thalayilidnne veshikundaya santhathi
MA_YT076	@USER ninte bhagyam ore samayam ammayeyum pengalayum fuck cheyyunnath oh	OFF	user ninte bhagyam ore samayam ammayeyum pengalayum fuck cheyyunnath oh
MA_YT077	@USER ninakku sugamano sugamillenkil njan sugam tharam nalla sugam kittum	OFF	user ninakku sugamano sugamillenkil njan sugam tharam nalla sugam kittum
MA_YT078	@USER Nee podi poori,lalettan fans nodu kalichaal ninnayokke veetil kayari poolum kettodi,bhavanakku sambhavicha pole aakilla	OFF	user nee podi poori,lalettan fans nodu kalichaal ninnayokke veetil kayari poolum kettodi,bhavanakku sambhavicha pole aakilla
MA_YT079	@USER mammunniyude aano santhathi atho vere arengilum .... Ivaludeyokke roll kandittu cmnt ittu tholikkan vanna ninnodokke enthu parayana myre	OFF	user mammunniyude aano santhathi atho vere arengilum . ivaludeyokke roll kandittu cmnt ittu tholikkan vanna ninnodokke enthu parayana myre
MA_YT080	@USER edi ninak enthoram indadi education...chuma ee potatharam parayand onju poo 💩💩💩	OFF	user edi ninak enthoram indadi education.chuma ee potatharam parayand onju poo 
MA_YT081	@USER pully nice ayittt feminachi kalle trollyathaannu bro.	NOT	user pully nice ayittt feminachi kalle trollyathaannu bro.
MA_YT082	@USER enna myiru varthanum Ada parayunne thayoli... Manasil vargeeyatha ullondannu... Nee okke igne parayunne	OFF	user enna myiru varthanum ada parayunne thayoli. manasil vargeeyatha ullondannu. nee okke igne parayunne
MA_YT083	@USER Bro , Islamophobia yum oru tharathil Xenophobia thanneyaa ... malayaalathil paranjaal apara valkkaranam	NOT	user bro , islamophobia yum oru tharathil xenophobia thanneyaa . malayaalathil paranjaal apara valkkaranam
MA_YT084	@USER tholkkumbol athum ithum paranj ozhivaayitt kaaruamilla .otta thanthak pirannavanaanenkil vaaku paalikkedaaa	OFF	user tholkkumbol athum ithum paranj ozhivaayitt kaaruamilla .otta thanthak pirannavanaanenkil vaaku paalikkedaaa
MA_YT085	Njan kore nokki kandilla...	NOT	njan kore nokki kandilla.
MA_YT086	@USER aa avar orupad perund jagathi chettan, surajettan, saleem kumar etc..	NOT	user aa avar orupad perund jagathi chettan, surajettan, saleem kumar etc.
MA_YT087	Sathyam njanum karanju poyi	NOT	sathyam njanum karanju poyi
MA_YT088	@USER Anna Ben kadalil chenn nikkumbo ulla scn alle kannu nirakkane? 🤔	NOT	user anna ben kadalil chenn nikkumbo ulla scn alle kannu nirakkane? 
MA_YT089	Biriyani ella ... Kadal kanann vannatha😝😝😝	NOT	biriyani ella . kadal kanann vannatha
MA_YT090	@USER about Idhum kandu nokuo URL	NOT	user about idhum kandu nokuo url
MA_YT091	10th vare poya ajith english samsarikunath onnum ketitille??	NOT	10th vare poya ajith english samsarikunath onnum ketitille??
MA_YT092	aaaaaa nadakkk ippo thannee pokaaa 🥴👅	NOT	aaaaaa nadakkk ippo thannee pokaaa 
MA_YT093	Athinn rahmath hotelithe biriyani ithrakk rasavumonnummilla njan kzhichittund ennall ernankulathe biriyani supera 😋	NOT	athinn rahmath hotelithe biriyani ithrakk rasavumonnummilla njan kzhichittund ennall ernankulathe biriyani supera 
MA_YT094	@USER Srry njan chicken biriyaniya kazhichath bill vannappo netti	NOT	user srry njan chicken biriyaniya kazhichath bill vannappo netti
MA_YT095	ariyunnaver paraytte padicha karim paraynde irikkandallo 😂padichath mothalakkteee moluse	NOT	ariyunnaver paraytte padicha karim paraynde irikkandallo padichath mothalakkteee moluse
MA_YT096	Ithoru grl aanekil kure trolls vanenne ale trollen chettnmaree	NOT	ithoru grl aanekil kure trolls vanenne ale trollen chettnmaree
MA_YT097	Ee samsarathil pulli unique aaan.. namma malayalikalum normally ingana thanneyokkeyalle samsarikkaa pinnentha	NOT	ee samsarathil pulli unique aaan. namma malayalikalum normally ingana thanneyokkeyalle samsarikkaa pinnentha
MA_YT098	E movie il tanvi bhaside ara? Avasanam cousin aanu enu ndo ketapole	NOT	e movie il tanvi bhaside ara? avasanam cousin aanu enu ndo ketapole
MA_YT099	Chila words manslaavathe back adich dictionary thappit varuna le njan😑 Bhasi Uyir❤	NOT	chila words manslaavathe back adich dictionary thappit varuna le njan bhasi uyir
MA_YT100	Mittayi vangiykunath polea ala njn film select cheyunath.. tha ith.. ith😂.. bhasist 😘😘😘😘	NOT	mittayi vangiykunath polea ala njn film select cheyunath. tha ith. ith. bhasist 
MA_YT101	Athe koode nikkum vallo nte karyathil edapedan oruyranum avakashamilla	NOT	athe koode nikkum vallo nte karyathil edapedan oruyranum avakashamilla
MA_YT102	Paavam sirne aarenkilim onnu madiyil kidathoo.. kittathathinte keruvaanu.	OFF	paavam sirne aarenkilim onnu madiyil kidathoo. kittathathinte keruvaanu.
MA_YT103	Poda security thayoli ninte ketyole vedi anenne karuthi nattile ella pennaungalum angane alla maire avarathi mone. Ninte ammede niyamam.	OFF	poda security thayoli ninte ketyole vedi anenne karuthi nattile ella pennaungalum angane alla maire avarathi mone. ninte ammede niyamam.
MA_YT104	Endhaale??? Nalloru Caro Biko park cheyth poyaal aarum kaanathe athil Kori varakkum,,, aarelum naalu kash undaakkunnath kandaal udane assooya paara vepp,,, nalloru penninem kond oruthan nadannal appo sadaachaaravum paranj varum,,, vallathoru vrithiketta manushyar tanne,,,	NOT	endhaale??? nalloru caro biko park cheyth poyaal aarum kaanathe athil kori varakkum,,, aarelum naalu kash undaakkunnath kandaal udane assooya paara vepp,,, nalloru penninem kond oruthan nadannal appo sadaachaaravum paranj varum,,, vallathoru vrithiketta manushyar tanne,,,
MA_YT105	Security thayolide ammem kettiolum pooru vitt nadakkunna vedikal aayirikkum.....aa adisthanathil pooran security ella penungalem aa kannil ang kand pokum	OFF	security thayolide ammem kettiolum pooru vitt nadakkunna vedikal aayirikkum.aa adisthanathil pooran security ella penungalem aa kannil ang kand pokum
MA_YT106	Poda pulla kalavandi yugathil jivikuna tayolikal	OFF	poda pulla kalavandi yugathil jivikuna tayolikal
MA_YT107	Pavan security Kundan tayoli colony vaanam.ippo endayo aavo	OFF	pavan security kundan tayoli colony vaanam.ippo endayo aavo
MA_YT108	Adhiyam pennugale ninthe pallil adiyam kettiettu sabarimalude kariyathil abhiprayam parau..	OFF	adhiyam pennugale ninthe pallil adiyam kettiettu sabarimalude kariyathil abhiprayam parau.
MA_YT109	Like adikkam rahul easwarku. Kalla sudu	OFF	like adikkam rahul easwarku. kalla sudu
MA_YT110	eee vishayathil viswasikalk ethiraya neekam undakiya sarkarinem aval vilikanam ithu pole poattumo pattilla joli pokum	NOT	eee vishayathil viswasikalk ethiraya neekam undakiya sarkarinem aval vilikanam ithu pole poattumo pattilla joli pokum
MA_YT111	Poda pulle nee nite kariyam nokkiya mathi ellakil kumbasarikkan ? Pokunna nite okke edavakayile pennugalude kariyam nokkada	OFF	poda pulle nee nite kariyam nokkiya mathi ellakil kumbasarikkan ? pokunna nite okke edavakayile pennugalude kariyam nokkada
MA_YT112	Vargeeya vesham cheettunna janathil poya pore theetta rahulin.... alle....	OFF	vargeeya vesham cheettunna janathil poya pore theetta rahulin. alle.
MA_YT113	Chakka enne parayumbol manga enne thirichu parayunna team swantham karyam mathram nokia pore enthi vere oruthante tro@USER madi nokan pokunne	NOT	chakka enne parayumbol manga enne thirichu parayunna team swantham karyam mathram nokia pore enthi vere oruthante trouser madi nokan pokunne
MA_YT114	Teacher ennullath family per alla makkale ath arhadayullavare vilikum.	NOT	teacher ennullath family per alla makkale ath arhadayullavare vilikum.
MA_YT115	@USER Arhatha theerumanikkunnath AKG centre il ninnano? AKG ennu kelkkumbol Belram paranja aa peedakaneyanu orma varunnath😂	OFF	user arhatha theerumanikkunnath akg centre il ninnano? akg ennu kelkkumbol belram paranja aa peedakaneyanu orma varunnath
MA_YT116	@USER ningal vilicholu avar ningalude teacher thanneyane we agree.pakshe ellavarum avare teacher ayikanenam ennulla manobhavam venda	NOT	user ningal vilicholu avar ningalude teacher thanneyane we agree.pakshe ellavarum avare teacher ayikanenam ennulla manobhavam venda
MA_YT117	@USER ithellam anubhavam ayirikkum alle.anubhava guru ennnalle.	NOT	user ithellam anubhavam ayirikkum alle.anubhava guru ennnalle.
MA_YT118	Abdul nasar madani ennanalle vilikar allade usthade ennkeri oru avadaralayum vilikunath njanketitilla	NOT	abdul nasar madani ennanalle vilikar allade usthade ennkeri oru avadaralayum vilikunath njanketitilla
MA_YT119	@USER Thanthak lirakathavark ellavarum anganen thonum	OFF	user thanthak lirakathavark ellavarum anganen thonum
MA_YT120	madani ye madani mash ennu vilicho usthaad ennu vilicho...eppazhenkilum aparna?	NOT	madani ye madani mash ennu vilicho usthaad ennu vilicho.eppazhenkilum aparna?
MA_YT121	@USER avanu parayan aggilum ind nine thoori ettathale ninte thalla	OFF	user avanu parayan aggilum ind nine thoori ettathale ninte thalla
MA_YT122	Eda theetta rahule.... enth oolatharamada parayunne..... changayi Ningalde charithram keralathil motham ariya.... Veshakalaye teacher enn vilicha keralathile maathramalla motham lokathile teachersinum nanakeda. .. Vargeeya vesham......	OFF	eda theetta rahule. enth oolatharamada parayunne. changayi ningalde charithram keralathil motham ariya. veshakalaye teacher enn vilicha keralathile maathramalla motham lokathile teachersinum nanakeda. . vargeeya vesham.
MA_YT123	@USER njan nigada onja chanel ozhike bhakki ella english hindi tamil malayalam news and entertainment chanels kaanarund	NOT	user njan nigada onja chanel ozhike bhakki ella english hindi tamil malayalam news and entertainment chanels kaanarund
MA_YT124	@USER Kanditt enthu karyam?? Chinthikkande aniyaaa??	NOT	user kanditt enthu karyam?? chinthikkande aniyaaa??
MA_YT125	Avalda chund valuthanallo	OFF	avalda chund valuthanallo
MA_YT126	Thaanokke alle samskaaram padippikaan nadakkunna faken maaru..adyam swayam nannaakedo..swantham veettil pennungale chundu aadyam poyi nokkedo kapadanmaare...	OFF	thaanokke alle samskaaram padippikaan nadakkunna faken maaru.adyam swayam nannaakedo.swantham veettil pennungale chundu aadyam poyi nokkedo kapadanmaare.
MA_YT127	Anallo allanu iyalku theliyikamo	NOT	anallo allanu iyalku theliyikamo
MA_YT128	Chettanodu ulla respects poi ... sathyam	NOT	chettanodu ulla respects poi . sathyam
MA_YT129	Shashjkalayenna chanaka vishathe techerenno chanaka kuziyil thalliyidu	OFF	shashjkalayenna chanaka vishathe techerenno chanaka kuziyil thalliyidu
